row,move,count
518,Nxe3,1627668
519,Rac1,1939352
520,Nxc5,1679899
521,Rcd1,300264
522,Rd6,2339815
523,Bf8,1388028
524,Rxd7,1334559
525,Qxd7,1636100
526,Qd7,5915594
527,d7,658798
528,Qxb3,787704
529,Ng8,544018
530,Kd8,2309479
531,Bxe5,4621552
532,cxb5,1445778
533,Bxh8,343758
534,Nh6,1817608
535,fxg3,1262309
536,Bh3,1684059
537,d8=Q,260190
538,Nbc3,350840
539,Rdf8,260133
540,Qxe6,1846937
541,Bxe6,2398399
542,Kb8,2462864
543,Rxe6,1736403
544,Rf4,1760347
545,Kxg3,432263
546,Re5,1891962
547,Nf8,909088
548,Rh1,2122833
549,Rcf1,55748
550,Rxe5,2181906
551,Rxf3,1562272
552,Na7,355821
553,Nxb5,1080876
554,Rfc8,801091
555,Nce5,190965
556,Rcb8,40737
557,Bxc4,2852276
558,fxe6,2424088
559,Nxd2,1163082
560,Nde4,100025
561,Nbd6,11249
562,Rbf8,47524
563,Rhf4,8953
564,R4f6,6582
565,Red1,395170
566,Rxe4,1976010
567,Rxh4,778923
568,R1d7,13875
569,Ra4,1353260
570,Rxa2,1476376
571,dxc3,1286793
572,Bxb2,1151922
573,Rag1,139640
574,Rg2,1575727
575,gxh4,841504
576,Kxh4,404182
577,Kh3,2282585
578,Bg6,3122767
579,Rxh8,514095
580,Qf8,1127136
581,Qxh6,962301
582,Bxh4,620096
583,Ka8,628652
584,Nd8,521877
585,Qxg4,1636454
586,Nc1,404914
587,Kb6,2194225
588,Nxb4,924368
589,cxb4,1365655
590,Kd5,2929664
591,Ke4,3425301
592,Kxf6,591016
593,Kd6,3905004
594,Kxd5,390740
595,Kb7,1975421
596,Kxb5,313663
597,Ka5,843367
598,Kxa3,194094
599,Kxh7,515436
600,Ba3,1689812
601,Kxe2,488729
602,Rce8,156486
603,Nxe8,354124
604,Ned2,45135
605,Rxc1,1341223
606,Qxc1,460837
607,Qf7,2310821
608,Nxg4,1378037
609,Nxh3,385994
610,Rad8,2802763
611,Nfg6,11884
612,Nxh7,356921
613,Rxf6,1640744
614,Kb2,1895310
615,Ka3,884014
616,Rxb3,791812
617,Kxd1,652163
618,Ra7,2146129
619,Kxb4,319780
620,Qxa5,634950
621,Nxa5,395949
622,Bxe7,1918454
623,Bf1,1107633
624,Rhe1,749151
625,Rc6,1827695
626,Ree7,126680
627,Ka2,843613
628,Bg8,208703
629,Kxh5,414668
630,Neg5,109127
631,Bxg5,2028192
632,Rde8,457700
633,Nh7,869268
634,Nxg5,1445088
635,Rxc7,1311112
636,Rxa7,1395802
637,Rxg6,817761
638,Kh4,1623481
639,bxc5,1979683
640,Ba4,1667023
641,fxg4,1218456
642,R7e6,15098
643,Rxh3,745264
644,cxb2,161438
645,Nxd3,1522720
646,Nbd4,115911
647,Re6,2247152
648,c2,599665
649,c1=Q,302830
650,Rxh7,959219
651,Ng2,384465
652,Bd8,738493
653,Rxd5,1880510
654,Rc5,1605494
655,Rxf4,1467337
656,axb6,1253383
657,Nce7,355302
658,Nf1,948513
659,N8e7,30728
660,Ne3,2986952
661,Nc2,1416838
662,Nfxd4,96424
663,Nhf3,58111
664,Nxe1,349999
665,Ncxe4,106019
666,Qxd5,4828810
667,Ne6,2815873
668,Rxg4,789793
669,fxe3,1798002
670,Qxg3,947774
671,Nxc7,828394
672,Rxc4,1199938
673,Rxa6,1006939
674,Kf5,3554791
675,Kxe5,484422
676,b2,594986
677,b1=Q,341208
678,Kxg5,534417
679,Nxg3,995825
680,Rdh1,95020
681,R4h2,1600
682,gxf4,1606350
683,Rg7,1661954
684,Kxb7,278909
685,Rhe8,632379
686,Rdd8,98575
687,Rxg7,1175076
688,Rab8,1136222
689,Bxb4,1225536
690,Rxc6,1276894
691,Rec1,176192
692,Rfb8,313723
693,Ncd7,63445
694,Nxb8,147940
695,exf2,108424
696,Rxf5,1450098
697,Bxd2,1334777
698,Kxd2,476476
699,Kxf3,535620
700,Rd5,1870054
701,Rxc5,1147123
702,Rh7,1505762
703,Kxa5,249248
704,f2,419891
705,f1=Q,232609
706,Qxh3,819169
707,a7,799175
708,Qa8,720332
709,Kxh6,363293
710,Ba5,1270779
711,Rb5,1331739
712,Qxf1,544790
713,Rdg8,244209
714,Bf7,1004907
715,Bxe8,299981
716,gxh2,57474
717,Ndf1,15041
718,Rde2,49892
719,Bxe1,305037
720,Bxa4,459229
721,Qxe8,704623
722,Nce4,189364
723,Qb7,1615291
724,Nfe4,63799
725,Nxc1,319235
726,Nb7,443475
727,Nxd8,563805
728,f7,453019
729,f8=Q,247103
730,Qgg4,5807
731,Ngxe7,35128
732,Nxa1,417489
733,Nxb3,829875
734,Bxb3,603335
735,Qxf5,1495335
736,Rhg8,459524
737,Rxa8,873954
738,Nxh6,442974
739,Bxa1,587712
740,Rff8,68379
741,Rxb6,752556
742,Ra5,1328953
743,Kxg4,517584
744,Qxh2,658419
745,Bxc2,680144
746,Bxa2,463267
747,Ndb5,94280
748,Ne1,708299
749,Rxg3,731594
750,Nxh4,626943
751,Kxe1,244819
752,Ngf3,589125
753,Nfd7,615642
754,hxg2,88408
755,Na1,47416
756,Rff1,71458
757,Rbd1,214487
758,Qh8,699619
759,Qxf2,1315284
760,Raf8,484233
761,Be1,593586
762,Bg1,225729
763,Nxa2,357407
764,Nh2,1023375
765,b7,588080
766,Nxh5,634278
767,Ned7,60625
768,exd7,71329
769,Qxe1,677721
770,Rfh7,3344
771,R7e5,6446
772,R1e2,66409
773,c7,606070
774,Rbc6,10209
775,c8=Q,305755
776,Neg4,86235
777,Bh7,570867
778,Nce2,316884
779,gxh5,1089219
780,Na8,56613
781,Qxb8,291057
782,Ncb1,4267
783,Nab6,6057
784,N3e2,5190
785,Bxh1,263646
786,Ncxe5,152530
787,Ree1,113395
788,Rff2,70576
789,Kxf4,528285
790,Rxa3,906699
791,Ngxe5,120007
792,Kxd6,366190
793,Kxe8,259052
794,Bxc7,688760
795,Kxc7,293468
796,Kxb3,241087
797,Kxc3,325113
798,Rexc2,2876
799,R2c5,2437
800,Qxh8,436217
801,Nbc5,12306
802,Rea2,4144
803,Rad2,13396
804,Bxa5,393287
805,Kxb2,283162
806,g7,484299
807,Rhd1,365475
808,R7xd6,1879
809,Nge2,1189021
810,d2,623924
811,Rbxd5,2090
812,Rdg1,287199
813,hxg7,109435
814,Rxg8,466440
815,Kxg8,163535
816,Kxc4,379851
817,Rxc2,1378067
818,Rbb5,7205
819,Bxa7,502316
820,R8d5,10245
821,Nxf1,485705
822,Nxa8,483395
823,a8=Q,443187
824,Ngxe4,84678
825,exd3,580109
826,Kxa8,49884
827,R3g5,1830
828,R8g7,18871
829,Rge5,6424
830,Nfd2,324969
831,Bxd1,631933
832,Raxd1,147232
833,Qxa6,670346
834,Rhf8,433262
835,Kxh3,321757
836,Kxd4,378798
837,Rbc8,212489
838,g8=Q,290397
839,Nxb6,674340
840,Rea8,22083
841,R6a7,2453
842,Rbb8,58673
843,Kxb8,58099
844,N5f6,27266
845,b8=Q,330209
846,Nac4,25452
847,bxc7,38030
848,Raa1,60754
849,Kxe4,436347
850,Ndxe5,100787
851,R1d5,10720
852,R5d6,8180
853,bxa4,814213
854,Qxc8,480751
855,Nec6,113214
856,Ndf6,301638
857,R8e6,18062
858,Ncb4,32146
859,dxc7,98911
860,Kxa4,262476
861,Kxc5,367385
862,Rfxf2,25489
863,Raf2,14120
864,Rfg1,30486
865,Kxc2,282144
866,Ka1,644445
867,Nde5,109776
868,Rea1,29664
869,Raa8,64726
870,Rgf8,62130
871,N2b3,23344
872,Na2,294773
873,exf7,205153
874,N7f6,80618
875,Nge4,127011
876,N4xf5,677
877,Kxd3,332171
878,Ng7,460572
879,Bxc1,364727
880,dxe7,101236
881,Nge5,116409
882,Rfxd1,69653
883,h7,678045
884,h8=Q,380292
885,f8=R,4761
886,Ree8,89471
887,Ncd4,54936
888,N4f3,24267
889,Qxh1,331191
890,Nxc8,369733
891,Rhxf1,12531
892,Raxc1,64025
893,Ree6,29959
894,Rxg1,386798
895,Nxg1,92495
896,R1f2,51322
897,R2f3,11512
898,bxa2,46019
899,Rfxf5,6682
900,Rhe5,4859
901,Rcc8,68187
902,Rbd8,215191
903,Rgf2,24018
904,Ncd3,14866
905,Rhxe7,1855
906,Nef6,62827
907,Kxa2,191365
908,Nhf6,70001
909,e7,563505
910,e8=Q,228477
911,Kxc1,103771
912,N3xe4,1972
913,Rge1,55598
914,Rad6,6071
915,Ba8,226099
916,Ba1,180841
917,Rdh8,75836
918,Kxg6,470292
919,Nexd5,43507
920,bxc2,45294
921,Nec3,75926
922,Nfxe5,32805
923,N5a3,5441
924,Raf6,2746
925,R7xc3,429
926,Rcc2,90573
927,Rbxf7,2811
928,N6c4,1518
929,Bxg1,114535
930,Rec2,22597
931,Rcc1,61259
932,Ndxe4,60242
933,Rbe1,137339
934,Rfb7,8300
935,Qhg1,1272
936,Qff5,5917
937,Qge4,1504
938,Qee6,6371
939,Qff7,7617
940,Qee8,5112
941,Rhh2,19784
942,Rhxd2,869
943,cxd2,39629
944,Ncd2,52979
945,Rfxd8,65431
946,Rdb8,38397
947,Kxa6,180323
948,Qbg3,625
949,Bxg8,192446
950,R4g6,3110
951,Rdc5,6794
952,Kxc6,318929
953,Rbd3,8360
954,R1d2,66037
955,R2d3,15971
956,Bh8,183813
957,cxd8=Q,15432
958,gxf7,97588
959,Qxg1,175860
960,Ref7,29118
961,R4d2,10113
962,Nxa7,367473
963,Rfc5,2428
964,g2,428588
965,g1=N,1996
966,Rfb1,311280
967,Rge3,12868
968,Nac3,21929
969,Reb1,78828
970,Raxc8,71213
971,Rcxc2,14758
972,Rce2,22527
973,N3h2,6607
974,Rdd1,106836
975,Ndc6,25115
976,Bxb8,270127
977,exf1=Q,15191
978,Rdd7,138436
979,Rhxf7,3231
980,Nexd4,48941
981,Reb8,61162
982,Rcg8,23259
983,fxg7,167886
984,Nxg7,461440
985,Rff7,71239
986,Rhh8,28530
987,N5b4,1299
988,N6d7,37328
989,Ndf3,393535
990,Nexd3,2759
991,d1=Q,258819
992,Kxb1,56379
993,Ref2,32230
994,Rbf1,49463
995,R3f2,19329
996,Rdc8,110015
997,Nxg8,110232
998,Bh1,117491
999,R7c3,3103
1000,Nde2,55090
1001,Nfe5,72096
1002,Kxg1,150483
1003,Bxb1,248776
1004,Rcc7,91107
1005,Rab7,23031
1006,axb7,53211
1007,Qhh7,4706
1008,Qee1,5135
1009,Qhf1,1889
1010,Qed1,867
1011,Qdd7,7779
1012,Rhc8,124393
1013,Raxd8,153550
1014,Nde7,34734
1015,Rge7,11984
1016,Rfe7,41739
1017,Ncxd4,51466
1018,Nbd5,167700
1019,Rbh8,7407
1020,R8h4,2983
1021,Rbg1,14811
1022,Rgxg2,13331
1023,Ncb5,35529
1024,Nbxc3,8750
1025,Rah1,48952
1026,R1xd3,2431
1027,Raxe8,10968
1028,Reg8,26032
1029,Rgh6,6236
1030,Rgg1,24228
1031,Qhg7,3268
1032,Q8f8,467
1033,Qge7,2184
1034,Nac6,30421
1035,Ref3,17637
1036,Kxc8,115087
1037,R1h2,10546
1038,N4c6,12404
1039,R1f4,7117
1040,R2f4,4256
1041,Rbc2,20342
1042,R2c4,4843
1043,R2c7,3722
1044,Rfe6,18683
1045,Kxh8,121751
1046,axb2,64972
1047,Rba6,4255
1048,Rfc4,2953
1049,Rab6,10604
1050,cxd1=Q,13347
1051,Rgc8,16302
1052,Qfd2,2921
1053,Qec1,3654
1054,gxf2,65791
1055,fxe1=Q,9661
1056,dxc2,77782
1057,Rce7,21292
1058,Rgf1,61517
1059,Rhh6,8080
1060,Rhf6,9532
1061,Rhh4,6053
1062,Rhg4,10471
1063,Rgf4,10410
1064,Rfe4,10809
1065,R1xf3,1861
1066,R3f5,4362
1067,R8f6,15875
1068,R5f7,9904
1069,Rah8,50158
1070,exd2,41023
1071,Rdc1,118755
1072,Rfa1,84425
1073,Raa7,42388
1074,Rfxf3,8638
1075,Rhxe1,2773
1076,Nbxd4,49712
1077,Rdd3,34612
1078,Ndc5,32156
1079,Nfd3,11189
1080,Ndc1,753
1081,Rbb7,51818
1082,R8d2,13136
1083,Rcxd7,4765
1084,Kxh1,96345
1085,Ncb3,7144
1086,Rbg8,15996
1087,Rag8,150385
1088,Rdd5,17147
1089,Ndc4,30692
